U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,
-0.041704,0.010656,0,1,0.474,0.474,0.5,0.1,0.043043861
-0.041746,0.010128,0,1,0.475,0.475,0.5,0.1,0.042957012
-0.041788,0.0096006,0,1,0.476,0.476,0.5,0.1,0.042876666
-0.041829,0.0090727,0,1,0.477,0.477,0.5,0.1,0.042801625
-0.041871,0.0085449,0,1,0.478,0.478,0.5,0.1,0.042734014
-0.041913,0.008017,0,1,0.479,0.479,0.5,0.1,0.042672847
-0.041955,0.0074892,0,1,0.48,0.48,0.5,0.1,0.04261819
-0.041995,0.0069686,0,1,0.481,0.481,0.5,0.1,0.042569254
-0.042036,0.006448,0,1,0.482,0.482,0.5,0.1,0.042527662
-0.042077,0.0059274,0,1,0.483,0.483,0.5,0.1,0.042492446
-0.042117,0.0054068,0,1,0.484,0.484,0.5,0.1,0.042462633
-0.042158,0.0048861,0,1,0.485,0.485,0.5,0.1,0.042440204
-0.042199,0.0043656,0,1,0.486,0.486,0.5,0.1,0.042424216
-0.042239,0.003845,0,1,0.487,0.487,0.5,0.1,0.042413643
-0.04228,0.0033244,0,1,0.488,0.488,0.5,0.1,0.042410494
-0.04232,0.0028038,0,1,0.489,0.489,0.5,0.1,0.042412777
-0.042361,0.0022831,0,1,0.49,0.49,0.5,0.1,0.042422481
-0.042401,0.0017673,0,1,0.491,0.491,0.5,0.1,0.042437815
-0.042441,0.0012514,0,1,0.492,0.492,0.5,0.1,0.042459445
-0.042481,0.00073546,0,1,0.493,0.493,0.5,0.1,0.042487366
-0.042521,0.00021957,0,1,0.494,0.494,0.5,0.1,0.042521567
-0.042561,-0.00029633,0,1,0.495,0.495,0.5,0.1,0.042562032
-0.042601,-0.00081222,0,1,0.496,0.496,0.5,0.1,0.042608742
-0.04264,-0.0013281,0,1,0.497,0.497,0.5,0.1,0.042660678
-0.04268,-0.001844,0,1,0.498,0.498,0.5,0.1,0.042719817
-0.04272,-0.0023599,0,1,0.499,0.499,0.5,0.1,0.042785132
-0.04276,-0.0028758,0,1,0.5,0.5,0.5,0.1,0.042856596
-0.0428,-0.003389,0,1,0.501,0.501,0.5,0.1,0.042933965
-0.042839,-0.0039023,0,1,0.502,0.502,0.5,0.1,0.043016367
-0.042878,-0.0044155,0,1,0.503,0.503,0.5,0.1,0.043104751
-0.042918,-0.0049288,0,1,0.504,0.504,0.5,0.1,0.04320009
-0.042957,-0.005442,0,1,0.505,0.505,0.5,0.1,0.043300337
-0.042997,-0.0059552,0,1,0.506,0.506,0.5,0.1,0.043407447
-0.043036,-0.0064685,0,1,0.507,0.507,0.5,0.1,0.043519407
-0.043076,-0.0069817,0,1,0.508,0.508,0.5,0.1,0.043638125
-0.043115,-0.007495,0,1,0.509,0.509,0.5,0.1,0.043761607
-0.043154,-0.0080082,0,1,0.51,0.51,0.5,0.1,0.043890762
-0.043193,-0.0085203,0,1,0.511,0.511,0.5,0.1,0.044025342
-0.043232,-0.0090324,0,1,0.512,0.512,0.5,0.1,0.044165485
-0.043272,-0.0095446,0,1,0.513,0.513,0.5,0.1,0.044312136
-0.043311,-0.010057,0,1,0.514,0.514,0.5,0.1,0.04446331
-0.04335,-0.010569,0,1,0.515,0.515,0.5,0.1,0.044619797
-0.043389,-0.011081,0,1,0.516,0.516,0.5,0.1,0.044781624
-0.043428,-0.011593,0,1,0.517,0.517,0.5,0.1,0.044948736
-0.043467,-0.012105,0,1,0.518,0.518,0.5,0.1,0.045121072
