0,1,2,3,4,5,6,7,8
盘1,盘2,盘3,盘4,盘5,盘6,片1,片2,片3
67.69,62.349,59.542,59.023,54.811,54.628,64.571,72.5,78.052
67.598,62.319,59.572,58.901,54.811,54.567,64.571,72.5,78.052
67.751,62.471,59.633,58.931,54.781,54.598,64.571,72.5,78.052
67.568,62.319,59.511,58.962,54.933,54.689,64.571,72.5,78.052
67.782,62.38,59.633,58.931,54.903,54.659,64.571,72.5,78.052
67.568,62.288,59.542,58.901,54.567,54.476,64.571,72.5,78.052
67.537,62.288,59.511,58.901,54.628,54.445,64.571,72.5,78.052
67.721,62.38,59.542,58.931,54.781,54.598,64.571,72.5,78.052
67.598,62.288,59.542,58.931,54.72,54.537,64.571,72.5,78.052
67.598,62.288,59.511,58.931,54.72,54.506,64.571,72.5,78.052
67.66,62.319,59.603,58.992,54.75,54.567,64.571,72.5,78.052
67.385,62.136,59.45,58.901,54.75,54.598,64.571,72.5,78.052
67.568,62.288,59.481,58.962,54.75,54.567,64.571,72.5,78.052
67.629,62.349,59.603,58.931,54.781,54.567,64.571,72.5,78.052
67.598,62.288,59.511,58.931,54.72,54.567,64.571,72.5,78.052
67.69,62.38,59.572,58.931,54.811,54.628,64.571,72.5,78.052
67.66,62.288,59.511,58.931,54.933,54.689,64.571,72.5,78.052
67.598,62.349,59.45,58.84,54.781,54.598,64.571,72.5,78.052
67.629,62.288,59.511,58.931,54.781,54.628,64.571,72.5,78.052
67.751,62.441,59.572,58.992,54.75,54.567,64.571,72.5,78.052
67.629,62.349,59.511,58.901,54.72,54.598,64.571,72.5,78.052
67.598,62.319,59.542,58.901,54.781,54.628,64.571,72.5,78.052
67.598,62.38,59.481,58.931,54.72,54.537,64.571,72.5,78.052
67.629,62.349,59.511,58.901,54.689,54.537,64.571,72.5,78.052
67.568,62.288,59.542,58.931,54.72,54.537,64.571,72.5,78.052
67.598,62.288,59.511,58.962,54.689,54.567,64.571,72.5,78.052
67.537,62.258,59.511,58.931,54.689,54.567,64.571,72.5,78.052
67.66,62.319,59.542,58.901,54.811,54.628,64.571,72.5,78.052
67.598,62.288,59.542,58.931,54.689,54.537,64.571,72.5,78.052
67.598,62.288,59.481,58.931,54.781,54.628,64.571,72.5,78.052
67.537,62.258,59.481,58.931,54.72,54.598,64.571,72.5,78.052
67.69,62.38,59.603,58.962,54.689,54.598,64.571,72.5,78.052
67.537,62.197,59.481,58.84,54.72,54.598,64.571,72.5,78.052
67.568,62.319,59.511,58.931,54.781,54.628,64.571,72.5,78.052
67.598,62.288,59.481,58.901,54.659,54.567,64.571,72.5,78.052
67.598,62.288,59.542,58.931,54.659,54.506,64.571,72.5,78.052
67.598,62.319,59.481,58.901,54.72,54.628,64.571,72.5,78.052
67.66,62.288,59.542,58.962,54.75,54.567,64.571,72.5,78.052
67.66,62.319,59.542,58.962,54.75,54.567,64.571,72.5,78.052
67.476,62.197,59.45,58.84,54.811,54.628,64.571,72.5,78.052
67.507,62.197,59.45,58.901,54.781,54.628,64.571,72.5,78.052
67.69,62.38,59.603,58.992,54.689,54.567,64.571,72.5,78.052
67.598,62.288,59.511,58.931,54.72,54.598,64.571,72.5,78.052
67.598,62.288,59.511,58.962,54.75,54.567,64.571,72.5,78.052
67.69,62.349,59.572,58.962,54.659,54.537,64.571,72.5,78.052
67.537,62.258,59.511,58.931,54.72,54.598,64.571,72.5,78.052
67.629,62.38,59.542,58.901,54.72,54.598,64.571,72.5,78.052
67.629,62.349,59.542,58.962,54.75,54.567,64.571,72.5,78.052
67.751,62.471,59.572,58.962,54.72,54.598,64.571,72.5,78.052
67.629,62.319,59.572,58.962,54.628,54.506,64.571,72.5,78.052
67.568,62.258,59.481,58.901,54.72,54.567,64.571,72.5,78.052
67.629,62.38,59.511,58.931,54.659,54.567,64.571,72.5,78.052
67.598,62.319,59.542,58.992,54.75,54.567,64.571,72.5,78.052
67.69,62.349,59.542,58.962,54.72,54.567,64.571,72.5,78.052
67.629,62.319,59.511,58.87,54.75,54.598,64.571,72.5,78.052
67.598,62.288,59.511,58.84,54.689,54.537,64.571,72.5,78.052
67.568,62.319,59.511,58.962,54.628,54.506,64.571,72.5,78.052
67.598,62.349,59.542,58.962,54.689,54.567,64.571,72.5,78.052
67.66,62.38,59.572,58.931,54.659,54.537,64.571,72.5,78.052
67.66,62.349,59.572,58.962,54.689,54.567,64.571,72.5,78.052
67.568,62.319,59.542,58.962,54.72,54.598,64.571,72.5,78.052
67.598,62.288,59.542,58.901,54.72,54.506,64.571,72.5,78.052
67.751,62.471,59.633,59.023,54.75,54.598,64.571,72.5,78.052
67.568,62.319,59.572,58.901,54.689,54.537,64.571,72.5,78.052
67.537,62.319,59.481,58.901,54.75,54.537,64.571,72.5,78.052
67.629,62.41,59.572,58.962,54.689,54.567,64.571,72.5,78.052
67.507,62.349,59.542,58.901,54.659,54.537,64.571,72.5,78.052
67.537,62.288,59.481,58.87,54.659,54.537,64.571,72.5,78.052
67.66,62.41,59.542,58.931,54.75,54.567,64.571,72.5,78.052
67.598,62.288,59.542,58.931,54.659,54.537,64.571,72.5,78.052
67.598,62.349,59.572,58.931,54.75,54.567,64.522,72.5,78.052
67.598,62.349,59.511,58.901,54.72,54.567,64.522,72.5,78.052
67.598,62.319,59.572,58.901,54.628,54.506,64.522,72.5,78.052
67.568,62.319,59.542,58.901,54.75,54.628,64.522,72.5,78.052
67.598,62.319,59.511,58.901,54.567,54.476,64.522,72.5,78.052
67.629,62.441,59.511,58.718,54.659,54.506,64.522,72.5,78.052
67.782,62.41,59.511,58.809,54.598,54.476,64.522,72.5,78.052
67.476,62.258,59.42,58.779,54.72,54.567,64.522,72.5,78.052
67.537,62.258,59.42,58.87,54.72,54.567,64.522,72.5,78.052
67.568,62.38,59.511,58.992,54.567,54.476,64.522,72.5,78.052
67.598,62.288,59.542,58.992,54.628,54.506,64.522,72.5,78.052
67.537,62.319,59.511,58.931,54.75,54.598,64.522,72.5,78.052
67.598,62.349,59.511,58.931,54.842,54.72,64.522,72.5,78.052
67.598,62.319,59.633,58.962,54.72,54.628,64.522,72.5,78.052
67.629,62.41,59.603,58.931,54.75,54.598,64.522,72.5,78.052
67.537,62.349,59.572,58.962,54.689,54.598,64.522,72.5,78.052
67.507,62.319,59.511,58.87,54.689,54.567,64.522,72.5,78.052
67.69,62.38,59.572,58.931,54.811,54.659,64.522,72.5,78.052
67.598,62.38,59.572,58.992,54.659,54.506,64.522,72.5,78.052
67.629,62.38,59.542,58.962,54.72,54.567,64.522,72.5,78.052
67.629,62.349,59.572,58.931,54.689,54.598,64.522,72.5,78.052
67.476,62.227,59.45,58.779,54.659,54.537,64.522,72.5,78.052
67.568,62.319,59.542,58.962,54.628,54.567,64.522,72.5,78.052
67.537,62.258,59.542,58.992,54.689,54.537,64.522,72.5,78.052
67.446,62.288,59.542,58.931,54.689,54.567,64.522,72.5,78.052
67.537,62.288,59.542,58.931,54.659,54.567,64.522,72.5,78.052
67.537,62.288,59.542,58.931,54.689,54.537,64.522,72.5,78.052
67.598,62.349,59.572,58.931,54.659,54.598,64.522,72.5,78.052
67.69,62.41,59.664,58.992,54.75,54.598,64.522,72.5,78.052
67.843,62.471,59.694,59.023,54.628,54.506,64.522,72.5,78.052
67.629,62.349,59.572,58.901,54.781,54.72,64.522,72.5,78.052
67.537,62.349,59.542,58.962,54.842,54.689,64.522,72.5,78.052
67.598,62.349,59.572,58.962,54.659,54.537,64.522,72.5,78.052
67.476,62.349,59.542,58.931,54.781,54.598,64.522,72.5,78.052
67.507,62.319,59.542,58.901,54.689,54.567,64.522,72.5,78.052
67.568,62.349,59.542,58.962,54.75,54.628,64.522,72.5,78.052
67.66,62.41,59.633,58.992,54.75,54.598,64.522,72.5,78.052
67.537,62.349,59.542,58.931,54.689,54.537,64.522,72.5,78.052
67.629,62.41,59.572,58.931,54.75,54.598,64.522,72.5,78.052
67.537,62.319,59.542,58.931,54.72,54.567,64.522,72.5,78.052
67.568,62.38,59.542,58.931,54.598,54.506,64.522,72.412,77.993
67.598,62.38,59.572,58.931,54.659,54.537,64.522,72.412,77.993
67.598,62.38,59.542,58.931,54.75,54.598,64.522,72.412,77.993
67.598,62.349,59.572,58.962,54.75,54.628,64.522,72.412,77.993
67.568,62.349,59.542,58.901,54.75,54.598,64.522,72.412,77.993
67.537,62.38,59.542,58.931,54.811,54.659,64.522,72.412,77.993
67.568,62.349,59.511,58.87,54.689,54.598,64.522,72.412,77.993
67.629,62.441,59.572,58.962,54.72,54.598,64.522,72.412,77.993
67.598,62.38,59.572,58.931,54.781,54.567,64.522,72.412,77.993
67.598,62.41,59.511,58.87,54.72,54.598,64.522,72.412,77.993
67.568,62.441,59.572,58.901,54.689,54.537,64.522,72.412,77.993
67.537,62.349,59.572,58.901,54.689,54.567,64.522,72.412,77.993
67.537,62.319,59.542,58.901,54.659,54.567,64.522,72.412,77.993
67.66,62.41,59.542,58.962,54.75,54.567,64.522,72.412,77.993
67.568,62.349,59.511,58.901,54.689,54.567,64.522,72.412,77.993
67.537,62.319,59.511,58.87,54.72,54.567,64.522,72.412,77.993
67.598,62.38,59.542,58.962,54.75,54.628,64.522,72.412,77.993
67.598,62.38,59.572,58.962,54.75,54.628,64.522,72.412,77.993
67.568,62.38,59.511,58.901,54.75,54.598,64.522,72.412,77.993
67.598,62.38,59.572,58.962,54.75,54.567,64.522,72.412,77.993
67.568,62.38,59.542,58.992,54.72,54.567,64.522,72.412,77.993
67.568,62.349,59.511,58.901,54.689,54.567,64.522,72.412,77.993
67.537,62.319,59.481,58.87,54.659,54.506,64.522,72.412,77.993
67.507,62.258,59.45,58.87,54.659,54.506,64.522,72.412,77.993
67.69,62.441,59.542,58.901,54.811,54.659,64.522,72.412,77.993
67.537,62.288,59.511,58.962,54.75,54.628,64.522,72.412,77.993
67.598,62.38,59.542,58.931,54.689,54.537,64.522,72.412,77.993
67.598,62.41,59.542,58.962,54.659,54.537,64.522,72.412,77.993
67.537,62.349,59.542,58.931,54.781,54.598,64.522,72.412,77.993
67.568,62.349,59.481,58.901,54.75,54.567,64.522,72.412,77.993
67.629,62.38,59.542,58.931,54.781,54.567,64.522,72.412,77.993
67.568,62.319,59.511,58.962,54.567,54.415,64.522,72.412,77.993
67.507,62.288,59.45,58.931,54.781,54.567,64.522,72.412,77.993
67.69,62.441,59.511,58.931,54.75,54.598,64.522,72.412,77.993
67.537,62.319,59.511,58.87,54.659,54.537,64.522,72.412,77.993
67.568,62.319,59.481,58.901,54.689,54.506,64.522,72.412,77.993
