0,1,2,3,4,5,6,7,8
盘1,盘2,盘3,盘4,盘5,盘6,片1,片2,片3
65.889,61.983,59.206,59.267,53.774,54.231,64.476,75.784,78.573
65.889,61.983,59.206,59.236,53.713,54.17,64.476,75.784,78.573
65.92,61.983,59.206,59.236,53.743,54.201,64.476,75.784,78.573
66.073,62.136,59.297,59.206,53.896,54.323,64.476,75.784,78.573
65.981,62.075,59.297,59.236,53.896,54.353,64.476,75.784,78.573
65.951,62.044,59.206,59.175,53.774,54.17,64.476,75.784,78.573
65.951,62.014,59.175,59.175,53.804,54.201,64.476,75.784,78.573
65.951,62.075,59.236,59.236,53.896,54.323,64.476,75.784,78.573
65.951,62.014,59.236,59.175,53.804,54.231,64.476,75.784,78.573
65.951,62.044,59.175,59.175,53.865,54.262,64.476,75.784,78.573
65.92,62.014,59.175,59.236,53.774,54.231,64.476,75.784,78.573
65.859,62.014,59.175,59.145,53.835,54.262,64.476,75.784,78.573
66.012,62.044,59.236,59.267,53.865,54.292,64.476,75.784,78.573
65.981,62.044,59.206,59.175,53.743,54.201,64.476,75.784,78.573
65.951,62.044,59.175,59.206,53.835,54.292,64.476,75.784,78.573
65.981,62.075,59.206,59.236,53.774,54.262,64.476,75.784,78.573
65.828,61.983,59.175,59.206,53.774,54.292,64.476,75.784,78.573
65.981,62.136,59.267,59.206,53.957,54.323,64.476,75.784,78.573
66.012,62.044,59.206,59.175,53.835,54.231,64.476,75.784,78.573
66.012,62.105,59.236,59.206,53.743,54.231,64.476,75.784,78.573
65.951,62.014,59.206,59.206,53.774,54.231,64.476,75.784,78.573
65.889,62.044,59.175,59.145,53.804,54.231,64.476,75.784,78.573
65.92,62.044,59.206,59.206,53.621,54.14,64.476,75.784,78.573
65.92,62.075,59.206,59.145,53.835,54.231,64.476,75.784,78.573
65.951,62.075,59.236,59.206,53.865,54.292,64.476,75.784,78.573
65.951,62.105,59.236,59.206,53.774,54.262,64.476,75.784,78.573
65.981,62.105,59.206,59.175,53.774,54.231,64.476,75.784,78.573
66.042,62.136,59.236,59.236,53.743,54.231,64.476,75.784,78.573
65.951,62.075,59.236,59.175,53.804,54.292,64.476,75.784,78.573
65.951,62.105,59.206,59.206,53.835,54.292,64.476,75.784,78.573
66.012,62.136,59.236,59.206,53.713,54.201,64.476,75.784,78.573
65.951,62.075,59.236,59.206,53.804,54.231,64.476,75.784,78.573
65.951,62.075,59.175,59.175,53.804,54.231,64.476,75.784,78.573
65.981,62.044,59.206,59.206,53.682,54.14,64.476,75.784,78.573
65.889,61.983,59.145,59.175,53.804,54.262,64.476,75.784,78.573
65.951,62.044,59.145,59.175,53.743,54.17,64.476,75.784,78.573
65.92,62.014,59.175,59.145,53.804,54.231,64.476,75.784,78.573
65.859,62.014,59.145,59.175,53.713,54.201,64.476,75.784,78.573
66.042,62.136,59.236,59.175,53.774,54.231,64.476,75.784,78.573
65.828,61.922,59.084,59.175,53.774,54.262,64.476,75.784,78.573
66.042,62.105,59.267,59.236,53.835,54.292,64.476,75.784,78.573
65.92,62.014,59.175,59.206,53.804,54.231,64.476,75.784,78.573
65.981,62.044,59.236,59.206,53.774,54.292,64.476,75.784,78.573
65.889,62.014,59.145,59.206,53.835,54.292,64.476,75.784,78.573
65.92,62.014,59.175,59.175,53.774,54.262,64.476,75.784,78.573
65.981,62.044,59.175,59.175,53.804,54.231,64.476,75.784,78.573
65.981,62.075,59.236,59.236,53.743,54.231,64.476,75.784,78.573
65.981,62.075,59.206,59.206,53.835,54.323,64.476,75.784,78.573
65.92,62.014,59.175,59.206,53.743,54.292,64.476,75.784,78.573
65.951,62.044,59.206,59.145,53.743,54.17,64.476,75.784,78.573
65.92,62.044,59.175,59.236,53.865,54.323,64.476,75.784,78.573
65.92,62.014,59.175,59.145,53.774,54.231,64.476,75.784,78.573
65.981,62.075,59.206,59.175,53.835,54.262,64.476,75.784,78.573
66.073,62.105,59.297,59.236,53.926,54.292,64.476,75.784,78.573
65.981,62.105,59.236,59.236,53.774,54.231,64.476,75.784,78.573
65.981,62.075,59.175,59.206,53.835,54.262,64.476,75.784,78.573
65.951,62.075,59.145,59.175,53.896,54.323,64.476,75.784,78.573
65.859,62.044,59.389,59.45,53.652,54.17,64.476,75.784,78.573
65.981,62.014,59.206,59.236,53.957,54.384,64.476,75.784,78.573
65.951,62.136,59.236,59.114,53.865,54.353,64.476,75.784,78.573
66.012,62.075,59.175,59.145,53.835,54.292,64.476,75.784,78.573
65.951,62.136,59.236,59.175,53.865,54.292,64.476,75.784,78.573
66.042,62.136,59.236,59.175,53.957,54.384,64.476,75.784,78.573
65.951,62.105,59.236,59.206,53.621,54.17,64.476,75.784,78.573
