0,1,2,3,4,5,6,7,8
盘1,盘2,盘3,盘4,盘5,盘6,片1,片2,片3
66.561,62.532,59.664,59.511,54.415,54.75,64.754,71.967,76.311
66.561,62.532,59.694,59.572,54.476,54.75,64.754,71.967,76.311
66.53,62.502,59.633,59.45,54.476,54.811,64.754,71.967,76.311
66.561,62.532,59.664,59.481,54.445,54.811,64.754,71.967,76.311
66.469,62.502,59.633,59.542,54.476,54.811,64.754,71.967,76.311
66.591,62.502,59.664,59.481,54.567,54.872,64.754,71.967,76.311
66.561,62.532,59.664,59.511,54.506,54.811,64.754,71.967,76.311
66.713,62.655,59.755,59.572,54.415,54.781,64.754,71.967,76.311
66.591,62.563,59.725,59.603,54.567,54.903,64.754,71.967,76.311
66.53,62.532,59.664,59.45,54.567,54.842,64.754,71.967,76.311
66.5,62.471,59.664,59.481,54.537,54.872,64.754,71.967,76.311
66.561,62.593,59.694,59.511,54.628,54.903,64.754,71.967,76.311
66.5,62.502,59.633,59.511,54.506,54.842,64.754,71.967,76.311
66.53,62.502,59.633,59.481,54.476,54.781,64.754,71.967,76.311
66.5,62.502,59.664,59.511,54.476,54.842,64.754,71.967,76.311
66.5,62.502,59.725,59.542,54.506,54.811,64.754,71.967,76.311
66.5,62.502,59.694,59.542,54.567,54.872,64.754,71.967,76.311
66.591,62.532,59.725,59.572,54.476,54.811,64.754,71.967,76.311
66.53,62.471,59.664,59.481,54.476,54.842,64.754,71.967,76.311
66.561,62.532,59.633,59.511,54.537,54.842,64.754,71.967,76.311
66.5,62.502,59.725,59.633,54.384,54.72,64.754,71.967,76.311
66.53,62.471,59.725,59.542,54.537,54.872,64.754,71.967,76.311
66.652,62.624,59.786,59.603,54.506,54.842,64.754,71.967,76.311
66.53,62.502,59.694,59.511,54.445,54.75,64.754,71.967,76.311
66.53,62.532,59.694,59.603,54.598,54.872,64.754,71.967,76.311
66.561,62.532,59.664,59.511,54.415,54.75,64.754,71.967,76.311
66.53,62.532,59.664,59.542,54.598,54.872,64.754,71.967,76.311
66.53,62.471,59.633,59.633,54.537,54.872,64.754,71.967,76.311
66.53,62.563,59.877,59.938,54.476,54.781,64.754,71.967,76.311
66.53,62.502,59.725,59.603,54.567,54.903,64.754,71.967,76.311
66.591,62.624,59.755,59.542,54.476,54.811,64.754,71.967,76.311
66.591,62.532,59.694,59.511,54.476,54.811,64.754,71.967,76.311
66.53,62.532,59.694,59.481,54.598,54.842,64.754,71.967,76.311
66.53,62.502,59.664,59.481,54.567,54.872,64.754,71.967,76.311
66.561,62.563,59.664,59.511,54.262,54.659,64.754,71.967,76.311
66.469,62.532,59.694,59.481,54.384,54.689,64.754,71.967,76.311
66.591,62.563,59.694,59.511,54.567,54.872,64.754,71.967,76.311
66.469,62.502,59.633,59.481,54.506,54.811,64.754,71.967,76.311
66.53,62.502,59.664,59.511,54.476,54.811,64.754,71.967,76.311
66.561,62.532,59.694,59.542,54.506,54.811,64.754,71.967,76.311
66.53,62.502,59.664,59.481,54.537,54.903,64.754,71.967,76.311
66.53,62.532,59.664,59.45,54.476,54.811,64.754,71.967,76.311
66.53,62.563,59.725,59.603,54.537,54.811,64.754,71.967,76.311
66.5,62.502,59.633,59.511,54.476,54.811,64.754,71.967,76.311
66.469,62.502,59.694,59.542,54.476,54.781,64.754,71.967,76.311
66.561,62.563,59.725,59.511,54.323,54.689,64.754,71.967,76.311
66.439,62.441,59.603,59.45,54.476,54.811,64.754,71.967,76.311
66.469,62.471,59.633,59.481,54.476,54.811,64.754,71.967,76.311
66.561,62.532,59.694,59.511,54.537,54.842,64.754,71.967,76.311
66.591,62.532,59.694,59.511,54.537,54.842,64.754,71.967,76.311
66.5,62.532,59.664,59.481,54.384,54.781,64.754,71.967,76.311
66.5,62.502,59.664,59.511,54.445,54.781,64.754,71.967,76.311
66.469,62.502,59.664,59.511,54.415,54.75,64.754,71.967,76.311
66.408,62.502,59.694,59.572,54.506,54.842,64.754,71.967,76.311
